"q_Is","beta_pre","k_A","k_Is","gamma_H","gamma_NH","m_H","m_NH_mult","H_lag","D_lag","school_closure_effect","lockdown_effect","time_num","lam_d","lam_h","q_H","m_Hbar_mult","distancing_effect","testing_effect_Im","testing_effect_A"
0.0343089518065003,1.81805415881211,0.377349599872184,0.755840069610094,0.118791346078723,0.0532964490916609,0.199386217347936,1.57581087901482,8,9,0.113497041164393,0.756848501939877,14,85410.5781227074,97211.535579795,0.583275257218726,1.44536439983938,0.735358319902079,0.496695626863374,0.191930278598487
0.0343089518065003,1.81805415881211,0.377349599872184,0.755840069610094,0.118791346078723,0.0532964490916609,0.199386217347936,1.57581087901482,8,9,0.113497041164393,0.756848501939877,14,85410.5781227074,97211.535579795,0.583275257218726,1.77573141664184,0.704643403946345,0.536771995651444,0.195733769758854
0.0343089518065003,1.81805415881211,0.377349599872184,0.755840069610094,0.118791346078723,0.0532964490916609,0.199386217347936,1.57581087901482,8,9,0.113497041164393,0.756848501939877,14,85410.5781227074,97211.535579795,0.583275257218726,1.60952647313418,0.73407926472941,0.469700100265642,0.145113009551797
0.0343089518065003,1.81805415881211,0.377349599872184,0.755840069610094,0.118791346078723,0.0532964490916609,0.199386217347936,1.57581087901482,8,9,0.113497041164393,0.756848501939877,14,85410.5781227074,97211.535579795,0.583275257218726,1.35511517514859,0.687138049046008,0.50554652763211,0.170553720406502
0.0343089518065003,1.81805415881211,0.377349599872184,0.755840069610094,0.118791346078723,0.0532964490916609,0.199386217347936,1.57581087901482,8,9,0.113497041164393,0.756848501939877,14,85410.5781227074,97211.535579795,0.583275257218726,1.67685257115349,0.702849989140009,0.519259156890103,0.187345607428879
0.0343089518065003,1.81805415881211,0.377349599872184,0.755840069610094,0.118791346078723,0.0532964490916609,0.199386217347936,1.57581087901482,8,9,0.113497041164393,0.756848501939877,14,85410.5781227074,97211.535579795,0.583275257218726,1.4934814410075,0.773589375779937,0.529642997636617,0.192261439431728
0.0343089518065003,1.81805415881211,0.377349599872184,0.755840069610094,0.118791346078723,0.0532964490916609,0.199386217347936,1.57581087901482,8,9,0.113497041164393,0.756848501939877,14,85410.5781227074,97211.535579795,0.583275257218726,1.46494807220571,0.672659300055173,0.509351691941276,0.213263242175407
0.0343089518065003,1.81805415881211,0.377349599872184,0.755840069610094,0.118791346078723,0.0532964490916609,0.199386217347936,1.57581087901482,8,9,0.113497041164393,0.756848501939877,14,85410.5781227074,97211.535579795,0.583275257218726,1.01857794297606,0.688873559892273,0.473034166178027,0.239077754980183
0.047855744157364,1.8653532317473,0.316141256784054,0.691837498679963,0.114753994589745,0.0636890334732509,0.201312787429235,1.54756993580297,8,10,0.135542112249153,0.737948575252454,15,52092.2714387307,96379.8899480654,0.588563713893642,1.72772661049938,0.746224893135196,0.513238721465659,0.199311241278827
0.0406594886214069,1.76683962686143,0.339550464026279,0.732282706441093,0.0994134726079817,0.0574180392717884,0.219124585484784,1.54963819605513,9,9,0.140425863598482,0.74375213262935,16,53655.943084021,92701.0579432178,0.583870825688672,1.56061116557232,0.688389108700286,0.463029618798479,0.164441474049639
0.0384417711939263,1.81872952060345,0.396221226791364,0.721566585144815,0.0982621660865566,0.058921456411793,0.236939106227919,1.5858159208976,9,8,0.139580352139865,0.753793440367935,13,66038.2291388323,76960.9566066286,0.582238224791137,1.05805776402502,0.743253081298362,0.570234172482248,0.206421846204256
