"time","date","alos","lag.alos","smooth.alos"
200,2020-09-17,8.5,7.5,7.86855517335381
201,2020-09-18,8.5,7.5,7.82728661712548
202,2020-09-19,8.5,7.5,7.7873619913717
203,2020-09-20,8.5,7.5,7.74875492009649
204,2020-09-21,8.5,7.5,7.71143902730386
205,2020-09-22,8.5,7.5,7.67538793699784
206,2020-09-23,8.5,7.5,7.64057527318246
207,2020-09-24,8.5,7.5,7.60697465986173
208,2020-09-25,8.5,7.5,7.57455972103968
209,2020-09-26,8.5,7.5,7.54330408072032
210,2020-09-27,8.5,7.5,7.51318136290769
211,2020-09-28,8.5,7.5,7.4841651916058
212,2020-09-29,8.5,7.5,7.45622919081868
213,2020-09-30,8.5,7.5,7.42934698455034
214,2020-10-01,7.5,7.5,7.40349219680481
215,2020-10-02,7.5,7.5,7.37863845158611
216,2020-10-03,7.5,7.5,7.35475937289826
217,2020-10-04,7.5,7.5,7.33182858474529
218,2020-10-05,7.5,7.5,7.30981971113121
219,2020-10-06,7.5,7.5,7.28870637606005
220,2020-10-07,7.5,7.5,7.26846220353584
221,2020-10-08,7.5,7.5,7.24906081756258
222,2020-10-09,7.5,7.5,7.23047584214431
223,2020-10-10,7.5,7.5,7.21268090128505
224,2020-10-11,7.5,7.5,7.19564961898882
225,2020-10-12,7.5,7.5,7.17935561925963
226,2020-10-13,7.5,7.5,7.16377252610152
227,2020-10-14,7.5,7.5,7.14887396351851
228,2020-10-15,7.5,7.5,7.1346335555146
229,2020-10-16,7.5,7.5,7.12102492609384
230,2020-10-17,7.5,7.5,7.10802169926024
231,2020-10-18,7.5,6.8,7.09560617114461
232,2020-10-19,7.5,6.8,7.08379532638486
233,2020-10-20,7.5,6.8,7.07261482174572
234,2020-10-21,7.5,6.8,7.06209031399188
235,2020-10-22,7.5,6.8,7.05224745988807
236,2020-10-23,7.5,6.8,7.043111916199
237,2020-10-24,7.5,6.8,7.03470933968936
238,2020-10-25,7.5,6.8,7.02706538712387
239,2020-10-26,7.5,6.8,7.02020571526724
