"date","time","rel.cases.old.prop_cum","rel.cases.old.prop_daily","sev.measure"
2020-07-30,151,0.955552575915332,0.0963609728466335,0.51636863403453
2020-07-31,152,0.954355617140139,0.319933664787233,0.507984682285896
2020-08-01,153,0.953158658364946,0.31993366478726,0.499841149159565
2020-08-02,154,0.951961699589753,0.319933664787233,0.49194602476235
2020-08-03,155,0.951462923376952,0.562105674938696,0.484307299201062
2020-08-04,156,0.950056646350827,0.439908789082457,0.476932962582512
2020-08-05,157,0.949870784163252,0.562105674938696,0.469831005013514
2020-08-06,158,0.949161331483268,0.600606063633127,0.463009416600879
2020-08-07,159,0.948092895622179,0.382322888217351,0.456476187451419
2020-08-08,160,0.94702445976109,0.382322888217534,0.450239307671945
2020-08-09,161,0.945956023900001,0.382322888217351,0.44430676736927
2020-08-10,162,0.944933099216065,0.645199557320938,0.438686556650205
2020-08-11,163,0.944829577445768,0.91980928626332,0.433386665621563
2020-08-12,164,0.944068417655515,0.616945252981495,0.428413620648736
2020-08-13,165,0.943035620611633,0.639637492171619,0.423768093131447
2020-08-14,166,0.941523459580832,0.410185222252554,0.419449290727999
2020-08-15,167,0.94001129855003,0.410185222252578,0.415456421096693
2020-08-16,168,0.938499137519229,0.410185222252554,0.411788691895833
2020-08-17,169,0.937960058540665,0.405164122545135,0.408445310783722
2020-08-18,170,0.937234299163837,0.400143022837716,0.405425485418663
2020-08-19,171,0.936191202884181,0.628796178744982,0.402728423458959
2020-08-20,172,0.935565138814618,0.736552263712773,0.400353332562913
2020-08-21,173,0.93334349029595,0.301617679235423,0.398299420388827
2020-08-22,174,0.931121841777281,0.301617679235348,0.396565894595005
2020-08-23,175,0.928900193258613,0.301617679235423,0.395151962839749
2020-08-24,176,0.928221329358624,0,0.394056832781363
2020-08-25,177,0.92593409429502,0.390515521536357,0.393279712078149
2020-08-26,178,0.92435147853255,0.418502035355817,0.39281980838841
2020-08-27,179,0.92253766720228,0.348893177548156,0.39267632937045
2020-08-28,180,0.920760954267718,0.245921232785647,0.392848482682571
2020-08-29,181,0.918984241333155,0.245921232785743,0.393335475983076
2020-08-30,182,0.917207528398593,0.245921232785647,0.394136516930268
2020-08-31,183,0.915840201915875,0.451454951525567,0.39525081318245
2020-09-01,184,0.914763682699605,0.462910555831867,0.396677572397925
2020-09-02,185,0.913854627651394,0.567671077660861,0.398416002234995
2020-09-03,186,0.912201925154136,0.454008429758177,0.400465310351965
2020-09-04,187,0.911047377188118,0.412480423336309,0.402824704407136
2020-09-05,188,0.9098928292221,0.412480423336309,0.405493392058812
2020-09-06,189,0.908738281256083,0.412480423336309,0.408470580965295
2020-09-07,190,0.907583733290065,0.412480423336309,0.411755478784889
2020-09-08,191,0.906468520215433,0.30315811682087,0.415347293175896
2020-09-09,192,0.904136202013594,0.440569312789788,0.41924523179662
2020-09-10,193,0.900829094960782,0.173697890968181,0.423448502305363
2020-09-11,194,0.898643807626184,0.349710736253626,0.427956312360428
2020-09-12,195,0.896458520291585,0.349710736253548,0.432767869620118
2020-09-13,196,0.894273232956987,0.349710736253626,0.437878307643412
2020-09-14,197,0.892909978177891,0.446378035980729,0.443266463591996
2020-09-15,198,0.891616606411859,0.474667014392676,0.448907100528228
2020-09-16,199,0.889056116206188,0.321933250192162,0.454774981514471
2020-09-17,200,0.88759105051238,0.406629637189695,0.460844869613085
2020-09-18,201,0.886019140045327,0.462377248739913,0.46709152788643
2020-09-19,202,0.884447229578274,0.462377248739859,0.473489719396868
2020-09-20,203,0.882875319111221,0.462377248739913,0.480014207206759
2020-09-21,204,0.881567075157926,0.446378035980729,0.486639754378463
2020-09-22,205,0.880198169981481,0.50045537510671,0.493341123974342
2020-09-23,206,0.878943351056494,0.558525384015519,0.500093079056756
2020-09-24,207,0.877934975395807,0.498563294293452,0.506870382688066
2020-09-25,208,0.876608102329931,0.614301201897297,0.513647797930632
2020-09-26,209,0.875281229264054,0.614301201897273,0.520400087846815
2020-09-27,210,0.873954356198178,0.614301201897297,0.527102015498976
2020-09-28,211,0.872203242516259,0.423882967986557,0.533728343949476
2020-09-29,212,0.870293619605306,0.488345201756695,0.540253836260675
2020-09-30,213,0.868655390257458,0.491842465571359,0.546653255494935
2020-10-01,214,0.863108898765823,0.371355012685131,0.552901364714615
2020-10-02,215,0.861479373775078,0.667159405449074,0.558972926982077
2020-10-03,216,0.859849848784334,0.667159405449101,0.56484270535968
2020-10-04,217,0.858220323793589,0.667159405449074,0.570485462909787
2020-10-05,218,0.857472978095003,0.641079199516859,0.575875962694757
2020-10-06,219,0.854778560574391,0.549491258480196,0.580988967776951
2020-10-07,220,0.851552640244019,0.457903317443533,0.585799241218731
2020-10-08,221,0.849711600029612,0.614259809726822,0.590281546082456
2020-10-09,222,0.846485629382175,0.527605176925998,0.594410645430487
