"time","date","daily_hosp_adm_cong","cum_hosp_cong","cur_hosp_cong","hosp_death_cong"
105,2020-06-14,5.56640138401974,2723,54,1228
106,2020-06-15,8.88236665721293,2731,50,1233
107,2020-06-16,3.45519147522523,2735,43,1237
108,2020-06-17,6.06960097553594,2741,38,1237
109,2020-06-18,8.89920479536652,2750,36,1238
110,2020-06-19,3.42318183512302,2753,30,1238
111,2020-06-20,5.41513162403409,2759,30,1239
112,2020-06-21,3.08236592111218,2762,29,1241
113,2020-06-22,3.26524249661606,2765,30,1241
114,2020-06-23,3.59485327135713,2769,30,1243
115,2020-06-24,10.0764092731136,2779,33,1244
116,2020-06-25,9.12345921033077,2788,39,1245
117,2020-06-26,3.27163175164813,2791,35,1247
118,2020-06-27,10.0909197782023,2801,35,1247
119,2020-06-28,6.24286482791408,2807,33,1248
120,2020-06-29,4.86902169251805,2812,30,1249
121,2020-06-30,4.55139134787768,2817,27,1250
122,2020-07-01,4.71875933858901,2822,23,1251
123,2020-07-02,5.31901650699365,2827,17,1252
124,2020-07-03,3.39372898053074,2830,13,1253
125,2020-07-04,1.48263672781527,2832,11,1253
126,2020-07-05,0.854271060073484,2833,8,1253
127,2020-07-06,2.63712922431011,2835,10,1254
128,2020-07-07,3.03328980613667,2838,10,1254
129,2020-07-08,2.55033356794799,2841,10,1255
130,2020-07-09,0.758333907680736,2842,10,1256
131,2020-07-10,2.23482888153953,2844,9,1256
132,2020-07-11,2.16056072030078,2846,11,1256
133,2020-07-12,3.23096700981001,2849,13,1258
134,2020-07-13,1.48808657713504,2851,12,1258
135,2020-07-14,4.80638432619777,2856,13,1258
136,2020-07-15,3.13364135566666,2859,14,1258
137,2020-07-16,0.833982065910532,2859,14,1258
138,2020-07-17,0.830976404967696,2860,12,1258
139,2020-07-18,0.634083116929405,2861,12,1258
140,2020-07-19,1.1036480873337,2862,12,1259
141,2020-07-20,0.939657931894923,2863,15,1259
142,2020-07-21,4.25784023310839,2867,16,1259
143,2020-07-22,5.53998076978634,2873,19,1259
144,2020-07-23,3.82744915160522,2877,19,1259
145,2020-07-24,4.45156417139404,2881,18,1259
146,2020-07-25,6.06812470584276,2887,20,1259
147,2020-07-26,0.535565604131053,2888,16,1260
148,2020-07-27,2.04228665882137,2890,14,1260
149,2020-07-28,2.86379212136116,2893,13,1260
150,2020-07-29,4.57135096530855,2897,14,1260
151,2020-07-30,4.21945264880362,2901,13,1261
152,2020-07-31,2.94085542293587,2904,12,1261
153,2020-08-01,1.30750617643898,2906,9,1262
154,2020-08-02,0.844447480602165,2906,8,1262
155,2020-08-03,2.69465256868867,2909,9,1262
156,2020-08-04,2.75398267492483,2912,10,1262
157,2020-08-05,4.99178633647068,2917,14,1262
158,2020-08-06,4.88903426100662,2922,17,1262
159,2020-08-07,3.46347299121134,2925,19,1262
160,2020-08-08,6.84875791557044,2932,23,1262
161,2020-08-09,3.12175622471286,2935,25,1263
162,2020-08-10,6.46428273465824,2942,28,1263
163,2020-08-11,2.39799944012009,2944,23,1265
164,2020-08-12,5.94626270170498,2950,23,1266
165,2020-08-13,2.46140125317181,2952,17,1266
166,2020-08-14,1.14336226154186,2954,9,1266
167,2020-08-15,0.620887870069104,2954,2,1266
168,2020-08-16,0,2954,0,1266
169,2020-08-17,0,2954,0,1266
170,2020-08-18,0,2954,0,1266
171,2020-08-19,0,2954,0,1266
172,2020-08-20,0,2954,0,1266
173,2020-08-21,0,2954,0,1266
174,2020-08-22,0.0871508173627729,2954,1,1266
175,2020-08-23,1.82577405387726,2956,7,1266
176,2020-08-24,1.52889392172966,2958,11,1266
177,2020-08-25,3.08307410307169,2961,14,1266
178,2020-08-26,3.20689429932586,2964,15,1266
179,2020-08-27,5.9920280289334,2970,17,1266
180,2020-08-28,3.22892383778666,2973,15,1266
181,2020-08-29,2.04996550905095,2975,15,1266
182,2020-08-30,1.98781858235361,2977,15,1266
183,2020-08-31,3.21060933146335,2980,15,1267
184,2020-09-01,6.8481018381074,2987,16,1267
185,2020-09-02,1.94714580288151,2989,14,1268
186,2020-09-03,1.65882502554579,2991,11,1268
187,2020-09-04,1.64874349433941,2993,8,1268
188,2020-09-05,2.54597128763671,2995,7,1268
189,2020-09-06,0.263611099741581,2995,5,1268
190,2020-09-07,0.53697477520052,2996,3,1268
191,2020-09-08,0.999711068581105,2997,3,1268
192,2020-09-09,0.434154027757579,2997,2,1269
193,2020-09-10,0.347384315495889,2998,2,1269
194,2020-09-11,0.783688439789378,2998,2,1269
195,2020-09-12,0.543648810687405,2999,2,1269
196,2020-09-13,0.212870151167431,2999,3,1269
197,2020-09-14,0.62960744611074,3000,3,1269
198,2020-09-15,0.677820317370483,3001,4,1269
199,2020-09-16,1.07239461052425,3002,5,1269
200,2020-09-17,1.93493707276702,3004,6,1269
201,2020-09-18,1.76830136500154,3005,7,1269
202,2020-09-19,2.7935893492933,3008,9,1270
203,2020-09-20,1.05657290961645,3009,10,1270
204,2020-09-21,2.69162196079194,3012,13,1270
205,2020-09-22,3.43080280446742,3015,15,1270
206,2020-09-23,1.93807703601137,3017,16,1271
207,2020-09-24,4.38278956892965,3022,17,1271
208,2020-09-25,2.9995674043213,3025,16,1271
209,2020-09-26,2.43555960679059,3027,13,1271
210,2020-09-27,3.39471959390737,3030,14,1272
211,2020-09-28,3.85262585316416,3034,16,1272
212,2020-09-29,4.21995646004102,3039,17,1274
213,2020-09-30,4.03135873208132,3043,16,1274
214,2020-10-01,2.57298263160848,3045,15,1274
215,2020-10-02,2.877735547,3048,14,1274
216,2020-10-03,2.54685337428332,3051,13,1275
217,2020-10-04,1.80473978903577,3052,11,1276
218,2020-10-05,0.815126324121024,3053,9,1276
219,2020-10-06,2.13048350014913,3055,9,1276
220,2020-10-07,0.663660004154856,3056,8,1276
221,2020-10-08,1.94824357144402,3058,10,1276
222,2020-10-09,2.00379204728232,3060,13,1277
223,2020-10-10,3.61593840108255,3064,17,1278
224,2020-10-11,3.49047424462304,3067,22,1278
225,2020-10-12,5.00628686058084,3072,28,1278
226,2020-10-13,7.45675801858573,3079,33,1278
227,2020-10-14,4.33817372102981,3084,36,1279
228,2020-10-15,4.31345145117188,3088,36,1279
229,2020-10-16,7.22281116139511,3095,37,1280
230,2020-10-17,6.89126372069941,3102,37,1281
231,2020-10-18,5.86665987335131,3108,39,1283
232,2020-10-19,5.97614342610494,3114,43,1284
233,2020-10-20,3.27900548868056,3117,41,1284
234,2020-10-21,8.44648822878586,3126,43,1286
235,2020-10-22,6.0295341217581,3132,40,1288
236,2020-10-23,5.43758653880186,3137,37,1289
237,2020-10-24,7.82361338924198,3145,37,1289
238,2020-10-25,4.7634238419248,3150,37,1292
239,2020-10-26,5.8208334882388,3156,37,1292
240,2020-10-27,6.78700939941501,3162,37,1292
241,2020-10-28,7.41128736434334,3170,38,1293
242,2020-10-29,5.68389874201435,3176,40,1294
243,2020-10-30,7.01300309281932,3183,42,1294
244,2020-10-31,4.377476751744,3187,43,1297
245,2020-11-01,6.90339256914003,3194,49,1297
246,2020-11-02,15.196598896548,3209,61,1298
247,2020-11-03,6.87846055317437,3216,60,1302
248,2020-11-04,10.8775655259502,3227,61,1302
249,2020-11-05,12.3172433161495,3239,64,1302
250,2020-11-06,12.1572791172384,3251,68,1304
251,2020-11-07,13.7569211063487,3265,72,1305
252,2020-11-08,12.6371717139715,3278,79,1308
253,2020-11-09,15.3565630954591,3293,88,1309
254,2020-11-10,19.1957038693238,3312,93,1311
255,2020-11-11,20.7953458584341,3333,99,1313
256,2020-11-12,20.3154532617011,3353,105,1315
257,2020-11-13,15.5165272943701,3369,110,1317
258,2020-11-14,23.1948088420996,3392,115,1320
259,2020-11-15,14.7167062998149,3407,121,1321
260,2020-11-16,14.7167062998149,3421,124,1324
261,2020-11-17,24.3145582344769,3446,131,1328
262,2020-11-18,21.2752384551672,3467,134,1332
263,2020-11-19,23.0348446431886,3490,136,1336
264,2020-11-20,22.5549520464555,3513,136,1340
265,2020-11-21,17.7560260791245,3530,136,1343
266,2020-11-22,16.4763124878363,3547,140,1344
267,2020-11-23,17.1161692834804,3564,143,1348
268,2020-11-24,35.3520879593381,3599,155,1352
269,2020-11-25,37.5915867440925,3637,162,1357
270,2020-11-26,21.1152742562562,3658,163,1361
271,2020-11-27,21.9150952508114,3680,167,1367
272,2020-11-28,25.9142002235872,3706,170,1372
273,2020-11-29,21.2752384551672,3727,176,1376
274,2020-11-30,24.1545940355658,3751,184,1379
275,2020-12-01,29.913305196363,3781,192,1383
276,2020-12-02,27.9937348094306,3809,191,1389
277,2020-12-03,23.6747014388327,3833,184,1395
278,2020-12-04,26.5540570192313,3859,184,1400
279,2020-12-05,30.073269395274,3890,185,1405
280,2020-12-06,24.1545940355658,3914,189,1412
281,2020-12-07,23.5147372399217,3937,196,1415
282,2020-12-08,33.4325175724057,3971,202,1420
283,2020-12-09,24.4745224333879,3995,194,1426
284,2020-12-10,30.5531619920071,4026,194,1431
285,2020-12-11,27.6738064116085,4053,194,1435
286,2020-12-12,24.954415030121,4078,188,1440
287,2020-12-13,32.1528039811174,4110,199,1445
288,2020-12-14,22.5549520464555,4133,203,1451
289,2020-12-15,26.3940928203203,4159,201,1457
290,2020-12-16,31.8328755832954,4191,193,1466
291,2020-12-17,26.2341286214092,4217,187,1472
292,2020-12-18,22.2350236486334,4240,185,1479
293,2020-12-19,32.4727323789395,4272,182,1486
294,2020-12-20,22.0750594497224,4294,183,1494
295,2020-12-21,25.274343427943,4320,185,1501
296,2020-12-22,28.9535200028968,4348,185,1506
297,2020-12-23,35.6720163571601,4384,192,1511
298,2020-12-24,28.6335916050747,4413,188,1518
299,2020-12-25,23.3547730410107,4436,181,1526
300,2020-12-26,27.0339496159644,4463,189,1531
301,2020-12-27,24.954415030121,4488,195,1536
302,2020-12-28,23.3547730410107,4511,196,1545
303,2020-12-29,24.6344866322989,4536,187,1553
304,2020-12-30,28.1536990083416,4564,182,1561
305,2020-12-31,26.5540570192313,4591,175,1569
306,2021-01-01,18.7158112725907,4610,171,1577
307,2021-01-02,23.6747014388327,4633,173,1584
308,2021-01-03,33.1125891745836,4666,178,1592
309,2021-01-04,25.4343076268541,4692,184,1598
310,2021-01-05,30.7131261909181,4722,182,1606
311,2021-01-06,28.1536990083416,4751,174,1612
312,2021-01-07,36.7917657495373,4787,177,1619
313,2021-01-08,29.2734484007188,4817,179,1626
314,2021-01-09,31.6729113843843,4848,178,1634
315,2021-01-10,23.8346656377438,4872,183,1640
316,2021-01-11,20.15548906279,4892,185,1645
317,2021-01-12,31.9928397822064,4924,184,1652
318,2021-01-13,28.4736274061637,4953,179,1659
319,2021-01-14,29.1134842018078,4982,176,1666
320,2021-01-15,35.5120521582491,5017,176,1671
321,2021-01-16,29.4334125996299,5047,174,1675
322,2021-01-17,22.5549520464555,5069,178,1680
323,2021-01-18,21.7551310519003,5091,183,1684
324,2021-01-19,26.7140212181423,5118,180,1693
325,2021-01-20,23.5147372399217,5141,171,1701
