Date,County,cum_hosp
2020-06-13,New Haven,3141
2020-06-13,New London,702
2020-06-13,Tolland,54
2020-06-13,Windham,281
2020-06-14,Fairfield,4042
2020-06-14,Hartford,5288
2020-06-14,Litchfield,650
2020-06-14,Middlesex,979
2020-06-14,New Haven,3152
2020-06-14,New London,710
2020-06-14,Tolland,54
2020-06-14,Windham,281
2020-06-15,Fairfield,4076
2020-06-15,Hartford,5308
2020-06-15,Litchfield,655
2020-06-15,Middlesex,987
2020-06-15,New Haven,3166
2020-06-15,New London,717
2020-06-15,Tolland,54
2020-06-15,Windham,284
2020-06-16,Fairfield,4112
2020-06-16,Hartford,5328
2020-06-16,Litchfield,659
2020-06-16,Middlesex,996
2020-06-16,New Haven,3190
2020-06-16,New London,721
2020-06-16,Tolland,54
2020-06-16,Windham,286
2020-06-17,Fairfield,4161
2020-06-17,Hartford,5349
2020-06-17,Litchfield,664
2020-06-17,Middlesex,1004
2020-06-17,New Haven,3217
2020-06-17,New London,726
2020-06-17,Tolland,54
2020-06-17,Windham,289
2020-06-18,Fairfield,4199
2020-06-18,Hartford,5370
2020-06-18,Litchfield,673
2020-06-18,Middlesex,1011
2020-06-18,New Haven,3241
2020-06-18,New London,734
2020-06-18,Tolland,54
2020-06-18,Windham,291
2020-06-19,Fairfield,4245
2020-06-19,Hartford,5396
2020-06-19,Litchfield,678
2020-06-19,Middlesex,1020
2020-06-19,New Haven,3257
2020-06-19,New London,740
2020-06-19,Tolland,54
2020-06-19,Windham,292
2020-06-20,Fairfield,4280
2020-06-20,Hartford,5408
2020-06-20,Litchfield,681
2020-06-20,Middlesex,1030
2020-06-20,New Haven,3275
2020-06-20,New London,742
2020-06-20,Tolland,54
2020-06-20,Windham,292
2020-06-21,Fairfield,4319
2020-06-21,Hartford,5422
2020-06-21,Litchfield,685
2020-06-21,Middlesex,1035
2020-06-21,New Haven,3295
2020-06-21,New London,748
2020-06-21,Tolland,54
2020-06-21,Windham,297
2020-06-22,Fairfield,4349
2020-06-22,Hartford,5441
2020-06-22,Litchfield,693
2020-06-22,Middlesex,1044
2020-06-22,New Haven,3314
2020-06-22,New London,755
2020-06-22,Tolland,54
2020-06-22,Windham,298
2020-06-23,Fairfield,4392
2020-06-23,Hartford,5454
2020-06-23,Litchfield,705
2020-06-23,Middlesex,1057
2020-06-23,New Haven,3333
2020-06-23,New London,763
2020-06-23,Tolland,54
2020-06-23,Windham,301
2020-06-24,Fairfield,4434
2020-06-24,Hartford,5476
2020-06-24,Litchfield,715
2020-06-24,Middlesex,1069
2020-06-24,New Haven,3360
2020-06-24,New London,771
2020-06-24,Tolland,54
2020-06-24,Windham,301
2020-06-25,Fairfield,4474
2020-06-25,Hartford,5495
2020-06-25,Litchfield,716
2020-06-25,Middlesex,1081
2020-06-25,New Haven,3381
2020-06-25,New London,845
2020-06-25,Tolland,54
2020-06-25,Windham,304
2020-06-26,Fairfield,4509
2020-06-26,Hartford,5514
2020-06-26,Litchfield,724
2020-06-26,Middlesex,1092
2020-06-26,New Haven,3404
2020-06-26,New London,853
2020-06-26,Tolland,54
2020-06-26,Windham,305
2020-06-27,Fairfield,4543
2020-06-27,Hartford,5532
2020-06-27,Litchfield,729
2020-06-27,Middlesex,1103
2020-06-27,New Haven,3423
2020-06-27,New London,859
2020-06-27,Tolland,54
2020-06-27,Windham,307
2020-06-28,Fairfield,4577
2020-06-28,Hartford,5540
2020-06-28,Litchfield,734
2020-06-28,Middlesex,1113
2020-06-28,New Haven,3448
2020-06-28,New London,860
2020-06-28,Tolland,54
2020-06-28,Windham,307
2020-06-29,Fairfield,4608
2020-06-29,Hartford,5558
2020-06-29,Litchfield,746
2020-06-29,Middlesex,1119
2020-06-29,New Haven,3467
2020-06-29,New London,863
2020-06-29,Tolland,54
2020-06-29,Windham,308
2020-06-30,Fairfield,4660
2020-06-30,Hartford,5585
2020-06-30,Litchfield,752
2020-06-30,Middlesex,1127
2020-06-30,New Haven,3485
2020-06-30,New London,868
2020-06-30,Tolland,54
2020-06-30,Windham,310
2020-07-01,Fairfield,4685
2020-07-01,Hartford,5606
2020-07-01,Litchfield,756
2020-07-01,Middlesex,1134
2020-07-01,New Haven,3502
2020-07-01,New London,874
2020-07-01,Tolland,54
2020-07-01,Windham,312
2020-07-02,Fairfield,4724
2020-07-02,Hartford,5624
2020-07-02,Litchfield,760
2020-07-02,Middlesex,1144
2020-07-02,New Haven,3514
2020-07-02,New London,875
2020-07-02,Tolland,54
