"time","date","daily_hdeath","daily_hosp_adm","movavg.daily_hdeath","movavg.daily_hosp_adm","hcfr","smooth.hcfr","rel.hcfr","smooth.rel_haz"
137,2020-07-16,0,4,0.535714285714286,9.53571428571429,0.0345622119815668,0.042600218897879,0.337990330420501,0.410870658489119
138,2020-07-17,0,3,0.428571428571428,9.67857142857143,0.0283687943262411,0.0416120648823745,0.27742374165957,0.401340109080153
139,2020-07-18,1,2,0.392857142857143,9.82142857142857,0.0258823529411765,0.0405093042899445,0.25310836665529,0.390704201977101
140,2020-07-19,0,4,0.357142857142857,9.46428571428571,0.0234741784037559,0.0393032210683814,0.229558377781686,0.379071768617445
141,2020-07-20,0,3,0.25,8.92857142857143,0.0175,0.0380050991654775,0.171135770636247,0.366551640438671
142,2020-07-21,0,12,0.214285714285714,8.5,0.0165289256198347,0.0366262225290252,0.161639452785121,0.353252648878263
143,2020-07-22,-1,16,0.178571428571429,8.25,0.0147492625368732,0.0351778751068169,0.144235794889378,0.339283625373706
144,2020-07-23,1,10,0.178571428571429,8.92857142857143,0.0151975683890578,0.0336713408466449,0.148619861603341,0.324753401362485
145,2020-07-24,0,13,0.214285714285714,9.85714285714286,0.0194174757281553,0.0321179036963017,0.189887124145628,0.309770808282082
146,2020-07-25,1,17,0.178571428571429,10.4642857142857,0.0177935943060498,0.0305288476035796,0.174006884225976,0.294444677569985
147,2020-07-26,0,1,0.178571428571429,10.6785714285714,0.018796992481203,0.028915456516271,0.183819302509396,0.278883840663675
148,2020-07-27,0,7,0.214285714285714,11.1071428571429,0.0224719101123595,0.0272890143821683,0.219757008842693,0.263197129000639
149,2020-07-28,0,9,0.214285714285714,11.4642857142857,0.022140221402214,0.0256608051490637,0.216513362955716,0.247493374018361
150,2020-07-29,0,17,0.285714285714286,11.5,0.0290909090909091,0.0240421127647498,0.284485436901814,0.231881407154325
151,2020-07-30,1,18,0.321428571428571,11.6785714285714,0.0339622641509434,0.0224442211770189,0.332123328458485,0.216470059846015
152,2020-07-31,0,15,0.285714285714286,11.6071428571429,0.032,0.0208784143336633,0.312933980591995,0.201368163530916
153,2020-08-01,0,7,0.285714285714286,11.3214285714286,0.0346320346320346,0.0193559761824754,0.338673139168826,0.186684549646513
154,2020-08-02,1,5,0.285714285714286,11.3571428571429,0.032,0.0178881906712477,0.312933980591995,0.17252804963029
155,2020-08-03,0,14,0.285714285714286,11.6785714285714,0.0289855072463768,0.0164863417477724,0.283454692565213,0.159007494919731
156,2020-08-04,0,11,0.285714285714286,11.7142857142857,0.0273037542662116,0.015161713359842,0.267008515863477,0.146231716952321
157,2020-08-05,1,18,0.285714285714286,11.3928571428571,0.0267558528428094,0.0139255894552488,0.261650485444812,0.134309547165545
158,2020-08-06,0,13,0.25,10.8214285714286,0.022508038585209,0.0127892539817852,0.220110315930865,0.123349816996886
159,2020-08-07,0,8,0.214285714285714,10.0714285714286,0.0186915887850467,0.0117639908872435,0.182788540065418,0.11346135788383
160,2020-08-08,1,14,0.214285714285714,10,0.0186335403726708,0.0108610841194162,0.182220873791923,0.104753001263861
161,2020-08-09,0,5,0.178571428571429,10.3214285714286,0.0152905198776758,0.0100918176260957,0.149528851582566,0.0973335785744631
162,2020-08-10,0,12,0.142857142857143,10.2142857142857,0.0123076923076923,0.00946747535507419,0.120359223304613,0.091311921253121
163,2020-08-11,0,5,0.142857142857143,10.0714285714286,0.0126182965299685,0.00899934125414418,0.123396680044162,0.0867968607373193
164,2020-08-12,0,12,0.178571428571429,9.64285714285714,0.0157232704402516,0.00869869927109801,0.153760800212262,0.0838972284645423
165,2020-08-13,0,7,0.214285714285714,9.28571428571428,0.018348623853211,0.00857683335372806,0.17943462189908,0.0827218558722745
166,2020-08-14,0,5,0.178571428571429,9.64285714285714,0.0152439024390244,0.00864156199981763,0.149072970937498,0.0833461508202814
167,2020-08-15,0,15,0.107142857142857,9.57142857142857,0.00940438871473354,0.00888684190711375,0.0919672748605001,0.0857118268574513
168,2020-08-16,0,6,0.107142857142857,9.46428571428572,0.0099009900990099,0.00930316432335436,0.0968236326089093,0.0897271739549536
169,2020-08-17,0,10,0.107142857142857,9.5,0.0106382978723404,0.00988102049627742,0.104033903122339,0.0953004820839576
170,2020-08-18,0,11,0.0714285714285714,9.5,0.00714285714285714,0.0106109016736209,0.0698513349535703,0.102340041215633
171,2020-08-19,2,6,0.0714285714285714,9.60714285714286,0.00699300699300699,0.0114832991031227,0.0683859223321667,0.110754141321148
172,2020-08-20,0,15,0.0714285714285714,9.89285714285714,0.00709219858156028,0.0124887040325208,0.0693559354148925,0.120451072371674
173,2020-08-21,-1,16,0.0714285714285714,10.4285714285714,0.00740740740740741,0.0136176077095532,0.0724384214333322,0.131339124338378
174,2020-08-22,0,4,0.0714285714285714,10.2142857142857,0.00769230769230769,0.0148605013819578,0.0752245145653834,0.143326587192431
175,2020-08-23,1,12,0.107142857142857,9.85714285714286,0.0111111111111111,0.0162078762974726,0.108657632149998,0.156321750905001
176,2020-08-24,-1,6,0.142857142857143,9.85714285714286,0.0149253731343284,0.0176502237038355,0.145958013335819,0.170232905447259
177,2020-08-25,0,11,0.142857142857143,10.2142857142857,0.0150943396226415,0.0191780348487845,0.147610368203771,0.184968340790373
178,2020-08-26,0,9,0.0714285714285714,10.6071428571429,0.0075187969924812,0.0207818009800574,0.0735277210037582,0.200436346905512
179,2020-08-27,0,18,0.0357142857142857,10.3571428571429,0.0037593984962406,0.0224520133453924,0.0367638605018791,0.216545213763847
180,2020-08-28,0,9,0.142857142857143,9.82142857142857,0.0148698884758364,0.0241791631925273,0.145415418490704,0.233203231336546
181,2020-08-29,0,5,0.214285714285714,10.1071428571429,0.0216606498194946,0.0259537417692001,0.211823542819491,0.250318689594779
182,2020-08-30,1,6,0.178571428571429,10.3214285714286,0.0171232876712329,0.0277662403231487,0.167451830368148,0.267799878509715
183,2020-08-31,0,10,0.178571428571429,10.0714285714286,0.0174825174825175,0.0296071501021111,0.170964805830417,0.285555088052523
184,2020-09-01,0,21,0.214285714285714,10.3928571428571,0.0217391304347826,0.0314669623538253,0.21259101942391,0.303492608194373
185,2020-09-02,0,7,0.214285714285714,10.6428571428571,0.0217391304347826,0.0333361683260291,0.21259101942391,0.321520728906435
186,2020-09-03,1,7,0.214285714285714,10.3214285714286,0.020979020979021,0.0352052592664607,0.2051577669965,0.339547740159876
187,2020-09-04,1,9,0.25,10.4285714285714,0.0235690235690236,0.0370647264228578,0.230485886378784,0.357481931925868
188,2020-09-05,0,19,0.321428571428571,11.1428571428571,0.0327272727272727,0.0389050610429584,0.32004611651454,0.375231594175578
189,2020-09-06,0,3,0.357142857142857,11.3928571428571,0.0353356890459364,0.0407167543745006,0.345554307190807,0.392705016880177
190,2020-09-07,0,8,0.392857142857143,11.4642857142857,0.0380622837370242,0.0424902976652222,0.372218186257779,0.409810490010834
191,2020-09-08,0,18,0.464285714285714,11.2142857142857,0.0460992907801418,0.0442161821628613,0.450813580196801,0.426456303538717
192,2020-09-09,0,9,0.571428571428571,11.1428571428571,0.0549828178694158,0.0458848991151557,0.53768725187628,0.442550747434998
193,2020-09-10,0,9,0.678571428571428,11.9642857142857,0.063758389261745,0.0474869397698435,0.623505204619117,0.458002111670843
194,2020-09-11,1,21,0.678571428571428,12.7142857142857,0.0657439446366782,0.0490127953746625,0.642922321717983,0.472718686217424
195,2020-09-12,1,13,0.714285714285714,12.9285714285714,0.0684931506849315,0.0504529571773507,0.669807321472592,0.48660876104591
196,2020-09-13,1,5,0.821428571428571,13.0357142857143,0.0737179487179487,0.051800216072158,0.720901597918257,0.499602805761777
197,2020-09-14,1,13,0.857142857142857,13.2857142857143,0.0752351097178683,0.0530565615393813,0.735738198884001,0.511720008507737
198,2020-09-15,1,11,0.857142857142857,13.2857142857143,0.0747663551401869,0.0542262827058295,0.73115416026167,0.523001737060807
199,2020-09-16,2,15,0.857142857142857,13.0714285714286,0.0764331210191083,0.0553136686983114,0.747453775299351,0.533489359198005
