"q_Is","beta_pre","gamma_H","m_H","H_lag","D_lag","lockdown_effect","testing_effect","E_init","sd_d","sd_h","sd_e","m_Hbar_mult"
0.0362584927730544,1.21853259810843,0.122139217257623,0.129130881306825,6,0,-1.49715805459215,0.0334366505700314,30.5182049834819,367.802632299444,327.177518527927,0.0364781655784791,1.1798638676265
0.0349994809951555,1.21329776120481,0.110286794565046,0.147277800556097,6,0,-1.48695818058661,0.0326861592002303,28.7977088681902,382.551772064628,344.240022897424,0.0381344115966937,1.28997146032117
0.0275865880567045,1.24561305602433,0.0996588387637442,0.14087183132311,5,1,-1.47685209122451,0.033646470618802,29.4444332467868,384.426723230723,397.707175852601,0.0299418635802875,1.30307433407915
0.0298657267247055,1.22442501318209,0.114168365094025,0.148578288224729,4,3,-1.47529392470903,0.0323577531690011,25.2120473091353,412.023247357168,415.315718574536,0.0298276510557455,1.59943380551011
0.0319064857121482,1.19731503518746,0.0877733485152505,0.180917735009038,5,2,-1.40895889985181,0.0350274376798368,25.5213814647198,410.722101199371,359.209903403523,0.0328218573436935,1.19855681313323
0.0357867529470074,1.18237160010706,0.0751038194938255,0.179319481432601,5,2,-1.46223368341194,0.0287480903610327,28.7192630794237,397.903690987935,374.033198522601,0.0363917676057654,1.75728333845284
0.0357867529470074,1.18237160010706,0.0751038194938255,0.179319481432601,5,2,-1.54653934228866,0.0375913363368711,28.7192630794237,397.903690987935,374.033198522601,0.0363917676057654,1.43354811049823
0.0357867529470074,1.18237160010706,0.0751038194938255,0.179319481432601,5,2,-1.61682638358697,0.0362068380516556,28.7192630794237,397.903690987935,374.033198522601,0.0363917676057654,1.79975768672317
0.0310386879468384,1.17982165396227,0.0833003219303599,0.16978638973191,4,3,-1.58039692394106,0.0409798504440895,37.0734512388296,386.700280420398,387.170877270177,0.0342888890506998,1.91875473122057
0.0463726520219201,1.13790242796155,0.115993214121761,0.15241616397889,5,3,-1.67694295675242,0.0343500601190658,42.1236205052169,408.116257539247,367.095536997564,0.0418817513436263,1.86037629789498
0.0491340109650036,1.19496086962833,0.137394654365501,0.119744902678689,7,5,-1.81312200730342,0.0319502131108959,41.3252467712108,404.992704826753,380.166733997807,0.038584908279327,1.79565695164454
0.0304570275248224,1.23901754209586,0.127835492069897,0.151456153465588,7,5,-1.81249871339571,0.0319216562010536,38.9906124124925,361.821644596042,378.238664268401,0.0388279638805979,1.72696627796474
0.0377108538435976,1.19405411108192,0.108838394319724,0.182612109718775,7,6,-1.79337751756651,0.0325081591519683,40.1777296104227,374.319736441112,368.012201915253,0.0346157293865438,1.66118202747245
0.0368060702587018,1.21941802720849,0.0946427621250865,0.150931062874657,6,4,-1.79083921893433,0.0300194567375533,36.0275270737333,369.547557126516,343.893893771602,0.035867093225935,1.00416502357249
0.0313838191748881,1.19648543178613,0.0980965627489914,0.147452772103151,5,4,-1.49318920470122,0.0272229332517589,35.9450281642509,401.773245131125,386.02946421195,0.0337846958432672,1.64447586987542
0.0363655080334738,1.1730191197925,0.106104174272217,0.146502702025929,5,2,-1.51330248644259,0.0287274244647862,38.4309139507235,412.642030868606,392.60840810638,0.0306671205881828,1.39989477791419
0.0320978458710621,1.18425466392011,0.109463907142577,0.110135579407188,6,1,-1.50474445185335,0.027507129403417,41.4480123833654,389.776123112323,380.24843021137,0.0366215341075072,1.56010840422256
